Cartera,Subdirección,Zona,Sucursal,Corte,Plazo,Suma de Monto,Capital,Interes,Total,Tasa de Ganancia,Vales
Vale Amigo,Bajio,Santiago Papasquiaro Digital,Santiago Papasquiaro Digital,07/06/2026,12,1421000,1421000,781116,2202116,54.97%,193
Vale Amigo,Bajio,Sinaloa Sur 2,Acaponeta,07/06/2026,12,23829000,23829000,12820408,36649408,53.80%,3019
Vale Amigo,Bajio,Sinaloa Sur 2,Escuinapa,07/06/2026,12,38816000,38816000,21036288,59852288,54.19%,5086
Vale Amigo,Bajio,Sinaloa Sur 2,Santiago Ixcuintla,07/06/2026,12,21032000,21032000,11237952,32269952,53.43%,2828
Vale Amigo,Bajio,Tepic,Compostela,07/06/2026,12,6281000,6281000,3354732,9635732,53.41%,857
Vale Amigo,Bajio,Tepic,Mezcales,07/06/2026,12,22785000,22785000,12355644,35140644,54.23%,2894
Vale Amigo,Bajio,Tepic,Tepic,07/06/2026,12,28634000,28634000,15165896,43799896,52.96%,3553
Vale Amigo,Bajio,Tepic,Vallarta,07/06/2026,12,31871000,31871000,17402708,49273708,54.60%,3879
Vale Amigo,Bajio,Zacatecas,Fresnillo,07/06/2026,12,24150000,24150000,13077060,37227060,54.15%,3181
Vale Amigo,Bajio,Zacatecas,Jerez,07/06/2026,12,7771000,7771000,4170876,11941876,53.67%,1010
Vale Amigo,Bajio,Zacatecas,Rio Grande,07/06/2026,12,51047000,51047000,27536220,78583220,53.94%,6269
Vale Amigo,Bajio,Zacatecas,Zacatecas,07/06/2026,12,40980000,40980000,21936520,62916520,53.53%,5264
